stage,files_processed,components_processed,anomalies_detected,high_risk,critical,pass,review,reject,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,processing_time_seconds,output_file
1,1,2000,269,132,20,1323,272,405,0.5445,0.9955686853766618,0.42604298356510745,0.5967242142540947,415,3,908,674,23.27,data/module_A_results\stage_01.csv
2,2,4000,413,213,15,2725,459,816,0.5235,0.9921568627450981,0.40018981335020565,0.5703336339044184,829,10,1896,1265,33.39,data/module_A_results\stage_02.csv
3,3,6000,612,314,15,4051,708,1241,0.524,0.9948691636736788,0.40522466039707417,0.5758835758835759,1205,10,2846,1939,45.76,data/module_A_results\stage_03.csv
4,4,8000,857,422,32,5387,969,1644,0.52075,0.9931113662456946,0.4047730463266261,0.5751329787234043,1571,18,3816,2595,57.02,data/module_A_results\stage_04.csv
5,5,10000,1079,517,33,6739,1212,2049,0.5209,0.9938669119901871,0.404518222666001,0.5750022176882817,1968,20,4771,3241,70.64,data/module_A_results\stage_05.csv
